Monthly extreme water levels 
The values are in meters relative to the most recent Mean Higher High Water (MHHW) datum established by CO-OPS
"Column values are the Year, Month, and Monthly Extremes"
1995,Jul,0.255
1995,Aug,0.636
1995,Sep,0.355
1995,Oct,0.279
1995,Nov,0.297
1995,Dec,0.517
1996,Jan,0.565
1996,Feb,0.303
1996,Mar,0.447
1996,Apr,0.379
1996,May,0.319
1996,Jun,0.375
1996,Jul,0.346
1996,Aug,0.396
1996,Sep,0.39
1996,Oct,0.484
1996,Nov,0.335
1996,Dec,0.542
1997,Jan,0.255
1997,Feb,0.574
1997,Mar,0.279
1997,Apr,0.671
1997,May,0.24
1997,Jun,0.657
1997,Jul,0.294
1997,Aug,0.344
1997,Sep,0.284
1997,Oct,0.799
1997,Nov,0.687
1997,Dec,0.351
1998,Jan,1.109
1998,Feb,1.354
1998,Mar,0.428
1998,Apr,0.405
1998,May,0.694
1998,Jun,0.329
1998,Jul,0.272
1998,Aug,0.367
1998,Sep,0.441
1998,Oct,0.32
1998,Nov,0.42
1998,Dec,0.418
1999,Jan,0.575
1999,Feb,0.321
1999,Mar,0.613
1999,Apr,0.415
1999,May,0.631
1999,Jun,0.443
1999,Jul,0.543
1999,Aug,0.758
1999,Sep,0.828
1999,Nov,0.241
1999,Dec,0.295
2000,Jun,0.311
2000,Jul,0.392
2000,Aug,0.365
2000,Sep,0.499
2000,Oct,0.335
2000,Nov,0.464
2001,Jan,0.205
2001,Feb,0.112
2001,Mar,0.439
2001,Apr,0.275
2001,May,0.336
2001,Jun,0.215
2001,Jul,0.431
2001,Aug,0.156
2001,Oct,0.493
2001,Nov,0.154
2002,Apr,0.209
2002,May,0.228
2002,Jun,0.388
2002,Jul,0.229
2002,Aug,0.261
2002,Sep,0.298
2002,Oct,0.477
2002,Nov,0.359
2002,Dec,0.403
2003,Jan,0.455
2003,Feb,0.731
2003,Mar,0.384
2003,Apr,0.559
2003,May,0.43
2003,Jun,0.33
2003,Jul,0.23
2003,Aug,0.05
2003,Sep,1.193
2003,Oct,0.475
2003,Nov,0.47
2003,Dec,0.498
2004,Mar,0.496
2004,Apr,0.218
2004,May,0.229
2004,Jun,0.422
2004,Jul,0.251
2004,Aug,0.286
2004,Sep,0.498
2004,Oct,0.449
2004,Nov,0.526
2005,Feb,0.381
2005,Mar,0.311
2005,Apr,0.276
2005,May,0.602
2005,Jun,0.318
2005,Jul,0.279
2006,Jan,0.621
2006,Feb,0.465
2006,Mar,0.333
2006,Apr,0.479
2006,May,0.532
2006,Jun,0.35
2006,Jul,0.321
2006,Aug,0.526
2006,Sep,1.489
2006,Oct,1.127
2006,Nov,1.011
2006,Dec,0.304
2008,May,0.606
2008,Jun,0.341
2008,Jul,0.226
2008,Aug,0.294
2008,Sep,0.707
2008,Oct,0.623
2008,Nov,0.487
2008,Dec,0.304
2009,Jan,0.262
2009,Feb,0.241
2009,Mar,0.491
2009,Apr,0.338
2009,May,0.449
2009,Jun,0.572
2009,Jul,0.423
2009,Aug,0.288
2009,Sep,0.57
2009,Nov,1.255
2009,Dec,0.871
2010,Jan,0.403
2010,Feb,0.762
2010,Mar,0.658
2010,Apr,0.592
2010,Sep,0.423
2010,Oct,0.569
2010,Nov,0.571
2010,Dec,0.507
2011,Jan,0.32
2011,Feb,0.618
2011,Mar,0.551
2011,Apr,0.701
2011,May,0.611
2011,Jun,0.456
2011,Jul,0.463
2011,Sep,0.551
2011,Oct,0.948
2011,Nov,0.524
2011,Dec,0.315
2012,Jan,0.439
2012,Feb,0.309
2012,Mar,0.352
2012,Apr,0.457
2012,May,0.499
2012,Jun,0.733
2012,Jul,0.384
2012,Aug,0.421
2012,Sep,0.315
2012,Oct,1.185
2012,Nov,0.602
2012,Dec,0.625
2013,Jan,0.424
2013,Feb,0.614
2013,Mar,0.639
2013,Apr,0.478
2013,May,0.341
2013,Jun,0.307
2013,Jul,0.477
2013,Aug,0.389
2013,Sep,0.398
2013,Oct,0.741
2013,Nov,0.506
2013,Dec,0.486
2014,Jan,0.431
2014,Feb,0.526
2014,Mar,0.423
2014,Apr,0.652
2014,May,0.48
2014,Jun,0.452
2014,Jul,0.318
2014,Aug,0.434
2014,Sep,0.62
2014,Oct,0.492
2014,Nov,0.62
2014,Dec,0.697
2015,Jan,0.466
2015,Feb,0.371
2015,Mar,0.384
2015,Apr,0.522
2015,May,0.358
2015,Jun,0.455
2015,Jul,0.418
2015,Aug,0.422
2015,Sep,0.756
2015,Oct,1.074
2015,Nov,0.381
2015,Dec,0.413
2016,Jan,1.311
2016,Feb,0.885
2016,Mar,0.381
2016,Apr,0.331
2016,May,0.836
2016,Jun,0.433
2016,Aug,0.446
2016,Sep,0.869
2016,Oct,0.592
2016,Nov,0.508
2016,Dec,0.417
2017,Jan,0.648
2017,Feb,0.419
2017,Mar,0.323
2017,Apr,0.562
2017,May,0.638
2017,Jun,0.429
2017,Jul,0.535
2017,Aug,0.539
2017,Sep,0.823
2017,Oct,0.739
2017,Nov,0.723
2017,Dec,0.514
2018,Jan,0.653
2018,Feb,0.245
2018,Mar,0.735
2018,Apr,0.59
2018,May,0.553
2018,Jun,0.535
2018,Jul,0.485
2018,Aug,0.446
2018,Sep,1.087
2018,Oct,0.666
2018,Nov,0.582
2018,Dec,0.456
2019,Jan,0.635
2019,Feb,0.468
2019,Mar,0.425
2019,Apr,0.401
2019,May,0.596
2019,Jun,0.388
2019,Jul,0.443
2019,Aug,0.625
2019,Sep,0.818
2019,Oct,0.849
2019,Nov,0.728
2019,Dec,0.47
2020,Jan,0.394
2020,Feb,0.574
2020,Mar,0.474
2020,Apr,0.684
2020,May,0.548
2020,Jun,0.456
2020,Jul,0.505
2020,Aug,0.586
2020,Sep,0.747
2020,Oct,0.59
2020,Nov,0.529
2020,Dec,0.576
2021,Jan,0.465
2021,Feb,0.602
2021,Mar,0.283
2021,Apr,0.451
2021,May,0.867
2021,Jun,0.462
2021,Jul,0.404
2021,Aug,0.449
2021,Sep,0.398
2021,Oct,0.807
2021,Nov,0.743
2021,Dec,0.495
2022,Jan,0.98
2022,Feb,0.378
2022,Mar,0.274
2022,Apr,0.55
2022,May,0.705
2022,Jun,0.545
2022,Jul,0.409
2022,Aug,0.464
2022,Sep,0.716
2022,Oct,0.792
2022,Nov,0.514
2022,Dec,0.602
2023,Jan,0.43
2023,Feb,0.394
2023,Mar,0.546
2023,Apr,0.38
2023,May,0.421
2023,Jun,0.746
2023,Jul,0.459
2023,Aug,0.52
2023,Sep,0.753
2023,Oct,0.672
